1 | Rob_Gronkowski
2 | Jordan_Reed
3 | Greg_Olsen
4 | Delanie_Walker
5 | Travis_Kelce
6 | Coby_Fleener
7 | Tyler_Eifert
8 | Gary_Barnidge
9 | Zach_Ertz
10 | Antonio_Gates
11 | Julius_Thomas
12 | Zach_Miller
13 | Martellus_Bennett
14 | Jimmy_Graham
15 | Eric_Ebron
16 | Jason_Witten
17 | Dwayne_Allen
18 | Charles_Clay
19 | Clive_Walford
20 | Jared_Cook
21 | Austin_Seferian-Jenkins
22 | Jordan_Cameron
23 | Kyle_Rudolph
24 | Jesse_James
25 | Virgil_Green
26 | Vance_McDonald
27 | Crockett_Gillmore
28 | Larry_Donnell
29 | Will_Tye
30 | Maxx_Williams
31 | Ladarius_Green
32 | Jacob_Tamme
33 | Cameron_Brate
34 | Tyler_Higbee
35 | Austin_Hooper
36 | Lance_Kendricks
37 | Darren_Fells
38 | Hunter_Henry
39 | Kellen_Winslow
40 | Benjamin_Watson
